xxxx;;;;;;;;;;;;;;x
social_democrat_ECU;社会主义党;Partido Socialista;Partido Socialista;;Partido Socialista;;;;;;;;;;x
left_wing_radical_ECU;厄瓜多尔劳动党;Partido de los Trabajadores del Ecuador;Partido de los Trabajadores del Ecuador;;Partido de los Trabajadores del Ecuador;;;;;;;;;;x
leninist_ECU;厄瓜多尔马列主义共产党;Partido Comunista Marxista-Leninista del Ecuador;Partido Comunista Marxista-Leninista del Ecuador;;Partido Comunista Marxista-Leninista del Ecuador;;;;;;;;;;x
stalinist_ECU;厄瓜多尔共产党;Partido Comunista del Ecuador;Partido Comunista del Ecuador;;Partido Comunista del Ecuador;;;;;;;;;;x
national_socialist_EGY;阿拉伯国家社会主义党;Parti national socialiste arabe;Nationalsozialistische Partei Arabiens;;Partido Nacionalsocialista 羠abe;;;;;;;;;;x
fascistic_EGY;阿拉伯法西斯阵线;Front fasciste arabe;Faschistische Front Arabiens;;Frente Fascista 羠abe;;;;;;;;;;x
paternal_autocrat_EGY;阿巴扎家族;Le clan Abaza;Der Abaza-Klan;;Clan de Abaza;;;;;;;;;;x
social_conservative_EGY;穆斯林兄弟会;Les Fr鑢es musulmans;Muslimische Bruderschaft;;Hermanos Musulmanes;;;;;;;;;;x
market_liberal_EGY;华夫脱党;Parti Wafd;Wafd-Partei;;Partido Wafd;;;;;;;;;;x
social_liberal_EGY;民族党;Parti Ummah;Ummah-Partei;;Partido Ummah;;;;;;;;;;x
social_democrat_EGY;阿拉伯社会主义联盟;Union socialiste arabe;Sozialistische Union Arabiens;;Uni髇 Socialista 羠abe;;;;;;;;;;x
left_wing_radical_EGY;民族进步统一党;Parti progressiste unioniste national;Einheitspartei des nationalen Fortschritts;;Partido de la Uni髇 Progresista Nacional;;;;;;;;;;x
leninist_EGY;埃及阿拉伯社会党;Parti socialiste arabe 間yptien;Arabische Sozialistenpartei 膅yptens;;Partido Socialista 羠abe de Egipto;;;;;;;;;;x
stalinist_EGY;埃及共产党;Parti communiste 間yptien;Kommunistische Partei 膅yptens;;Partido Comunista de Egipto;;;;;;;;;;x
national_socialist_ENG;国家社会主义联盟;Ligue nationale socialiste;National Socialist League;;Liga Nacionalsocialista;;;;;;;;;;x
fascistic_ENG;英国法西斯联盟;Union britannique fasciste;British Union of Fascists;;Uni髇 Brit醤ica de Fascistas;;;;;;;;;;x
paternal_autocrat_ENG;北欧联盟;Ligue du Nord;Nordic League;;Liga N髍dica;;;;;;;;;;x
social_conservative_ENG;保守党;Parti conservateur;Conservative Party;;Partido Conservador;;;;;;;;;;x
market_liberal_ENG;国家自由党;Parti lib閞al national;National Liberal Party;;Partido Nacional Liberal;;;;;;;;;;x
social_liberal_ENG;自由党;Parti lib閞al ;Liberal Party;;Partido Liberal;;;;;;;;;;x
social_democrat_ENG;劳动党;Parti travailliste;Labour Party;;Partido Laborista;;;;;;;;;;x
left_wing_radical_ENG;独立劳动党;Parti travailliste ind閜endant;Independent Labour Party;;Partido Laborista Independiente;;;;;;;;;;x
leninist_ENG;社会主义革命联盟;Ligue socialiste r関olutionnaire;Revolutionary Socialist League;;Liga Revolucionaria Socialista;;;;;;;;;;x
stalinist_ENG;共产党;Parti communiste;Kommunistische Partei;;Partido Comunista;;;;;;;;;;x
national_socialist_EST;爱沙尼亚纳粹党;Heimwehr;Heimwehr;;Heimwehr;;;;;;;;;;x
fascistic_EST;爱沙尼亚法西斯党;VAPSID;VAPSID;;VAPSID;;;;;;;;;;x
paternal_autocrat_EST;人民共和保守党;Talurahvaerakond;Talurahvaerakond;;Talurahvaerakond;;;;;;;;;;x
social_conservative_EST;社会保守党;EKR;EKR;;EKR;;;;;;;;;;x
market_liberal_EST;贸易自由主义;VKR;VKR;;VKR;;;;;;;;;;x
social_liberal_EST;社会自由主义;ER;ER;;ER;;;;;;;;;;x
social_democrat_EST;社会民主党;ES?;;;;;;;;;x
left_wing_radical_EST;左翼激进主义;ESP;ESP;;ESP;;;;;;;;;;x
leninist_EST;列宁主义;EST?;;;;;;;;;x
stalinist_EST;爱沙尼亚共产党;EKP;EKP;;EKP;;;;;;;;;;x
national_socialist_ETH;埃塞俄比亚国家社会主义党;Parti national socialiste 閠hiopien;Nationalsozialistische Partei 膖hiopiens;;Partido Nacionalsocialista de Etiop韆;;;;;;;;;;x
fascistic_ETH;埃塞俄比亚法西斯阵线;Front fasciste 閠hiopien;Faschistische Front 膖hiopiens;;Frente Fascista de Etiop韆;;;;;;;;;;x
paternal_autocrat_ETH;埃塞俄比亚贵族与宗教联盟;Mekwanint;Mekwanint;;Mekwanint;;;;;;;;;;x
social_conservative_ETH;社会保守党;Mesafint;Mesafint;;Mesafint;;;;;;;;;;x
market_liberal_ETH;埃塞俄比亚团结党;Parti unitaire 閠hiopien;Gesamt鋣ptische Einheitspartei;;Partido de Unidad Panet韔pe;;;;;;;;;;x
social_liberal_ETH;埃塞俄比亚民主团结党;Parti unitaire d閙ocratique 閠hiopien;Demokratische Einheitspartei 膖hiopiens;;Partido Et韔pe de Unidad Democr醫ica;;;;;;;;;;x
social_democrat_ETH;埃塞俄比亚社会民主联邦党;Parti social d閙ocrate f閐閞al 閠hiopien;Sozialdemokratische Bundespartei 膖hiopiens;;Partido Socialdem骳rata Federal de Etiop韆;;;;;;;;;;x
left_wing_radical_ETH;埃塞俄比亚人民革命党;Parti populaire r関olutionnaire 閠hiopien;膖hiopische Volksrevolutionspartei;;Partido Revolucionario del Pueblo?Et韔pe;;;;;;;;;;x
leninist_ETH;埃塞俄比亚社会主义运动党;Mouvement socialiste 閠hiopien;Gesamt鋣ptische sozialistische Bewegung;;Movimiento Socialista Panet韔pe;;;;;;;;;;x
stalinist_ETH;埃塞俄比亚工人党;Parti des travailleurs 閠hiopiens;膖hiopische Arbeiterpartei;;Partido Laborista de Etiop韆;;;;;;;;;;x
national_socialist_FIN;埃塞俄比亚纳粹党;Sinimustat;Sinimustat;;Sinimustat;;;;;;;;;;x
fascistic_FIN;鲁普厄阵线;Lapuan liike;Lapuan liike;;Lapuan liike;;;;;;;;;;x
paternal_autocrat_FIN;芬兰爱国者运动;IKL;IKL;;IKL;;;;;;;;;;x
social_conservative_FIN;国家同盟党;Kok;Kok;;Kok;;;;;;;;;;x
market_liberal_FIN;中央党;KE;KE;;KE;;;;;;;;;;x
social_liberal_FIN;社会自由党;SKK;SKK;;SKK;;;;;;;;;;x
social_democrat_FIN;社会民主党;SDP;SDP;;SDP;;;;;;;;;;x
left_wing_radical_FIN;社会主义统一党;SKDL;SKDL;;SKDL;;;;;;;;;;x
leninist_FIN;社会主义统一党;SYP;SYP;;SYP;;;;;;;;;;x
stalinist_FIN;社会主义统一党;SKP;SKP;;SKP;;;;;;;;;;x
national_socialist_FRA;法国人民阵线;PPF;PPF;;PPF;;;;;;;;;;x
fascistic_FRA;自由运动;Mouvement franciste;Mouvement Franciste;;Mouvement Franciste;;;;;;;;;;x
paternal_autocrat_FRA;法兰西行动党;Action fran鏰ise;Action Fran鏰ise;;Action Fran鏰ise;;;;;;;;;;x
social_conservative_FRA;法兰西国民阵线;FR;FR;;Fra;;;;;;;;;;x
market_liberal_FRA;法国国民共和党;MRP;MRP;;MRP;;;;;;;;;;x
social_liberal_FRA;社会自由主义;ARV;ARV;;ARV;;;;;;;;;;x
social_democrat_FRA;工人国际法国支部;SIFO;SIFO;;SIFO;;;;;;;;;;x
left_wing_radical_FRA;自由激进党;RAD;RAD;;RAD;;;;;;;;;;x
leninist_FRA;布尔什维克-列宁小组;GBL;GBL;;GBL;;;;;;;;;;x
stalinist_FRA;法国共产党;PCF;PCF;;PCF;;;;;;;;;;x
national_socialist_GER;国家社会主义工人党;NSDAP;NSDAP;;NSDAP;;;;;;;;;;x
fascistic_GER;德国民族自由党;DVFP;DVFP;;DVFP;;;;;;;;;;x
paternal_autocrat_GER;德国人民党;DVP;DVP;;DVP;;;;;;;;;;x
social_conservative_GER;德国国家人民党;DNVP;DNVP;;DNVP;;;;;;;;;;x
market_liberal_GER;德国民主党;DDP;DDP;;DDP;;;;;;;;;;x
social_liberal_GER;Z;Z;Z;;Z;;;;;;;;;;x
social_democrat_GER;德国社会民主党;SPD;SPD;;SPD;;;;;;;;;;x
left_wing_radical_GER;德国共产党;KPD;KPD;;KPD;;;;;;;;;;x
leninist_GER;奥地利共产党;KPO;KPO;;KPO;;;;;;;;;;x
stalinist_GER;德国共产主义工人党;KAPD;KAPD;;KAPD;;;;;;;;;;x
national_socialist_GRE;希腊国家社会主义党;EESK;EESK;;EESK;;;;;;;;;;x
fascistic_GRE;希腊法西斯党;EEE;EEE;;EEE;;;;;;;;;;x
paternal_autocrat_GRE;人民党;LK;LK;;LK;;;;;;;;;;x
social_conservative_GRE;保守民主党;SDK;SDK;;SDK;;;;;;;;;;x
market_liberal_GRE;贸易自由主义;KF;KF;;KF;;;;;;;;;;x
social_liberal_GRE;民主联盟;DE;DE;;DE;;;;;;;;;;x
social_democrat_GRE;希腊民主社会主义党;DSK;DSK;;DSK;;;;;;;;;;x
left_wing_radical_GRE;希腊社会主义工人党;SEKE;SEKE;;SEKE;;;;;;;;;;x
leninist_GRE;农民工人党;AEK;AEK;;AEK;;;;;;;;;;x
stalinist_GRE;希腊共产党;KKE;KKE;;KKE;;;;;;;;;;x
national_socialist_GUA;国家社会主义运动;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_GUA;危地马拉长枪党;Falange de Guatemala;Falange de Guatemala;;Falange de Guatemala;;;;;;;;;;x
paternal_autocrat_GUA;危地马拉共和党;Frente Republicano Guatemalteco;Frente Republicano Guatemalteco;;Frente Republicano Guatemalteco;;;;;;;;;;x
social_conservative_GUA;国家统一联盟;Unidad Nacional de la Esperanza;Unidad Nacional de la Esperanza;;Unidad Nacional de la Esperanza;;;;;;;;;;x
market_liberal_GUA;工人联合党;Partido Unionista;Partido Unionista;;Partido Unionista;;;;;;;;;;x
social_liberal_GUA;民主联盟;Uni髇 Democr醫ica;Uni髇 Democr醫ica;;Uni髇 Democr醫ica;;;;;;;;;;x
social_democrat_GUA;危地马拉劳工党;Partido Guatemalteco del Trabajo;Partido Guatemalteco del Trabajo;;Partido Guatemalteco del Trabajo;;;;;;;;;;x
left_wing_radical_GUA;革命行动党;Partido Accion Revolucion;Partido Accion Revolucion;;Partido Acci髇 Revoluci髇;;;;;;;;;;x
leninist_GUA;危地马拉民主先锋党;Vanguardia Democr醫ica Guatemalteca;Vanguardia Democr醫ica Guatemalteca;;Vanguardia Democr醫ica Guatemalteca;;;;;;;;;;x
stalinist_GUA;危地马拉共产党;Partido Comunista de Guatemala;Partido Comunista de Guatemala;;Partido Comunista de Guatemala;;;;;;;;;;x
national_socialist_GUY;圭亚那国家社会主义运动;Mouvement nationaliste guyanais;Nationalsozialitische Bewegung Guayanas;;Movimiento Nacionalsocialista de Guayana;;;;;;;;;;x
fascistic_GUY;圭亚那法西斯联盟;Ligue fasciste guyanaise;Faschistische Liga Guyanas;;Liga Fascista de Guayana;;;;;;;;;;x
paternal_autocrat_GUY;圭亚那国家党;Parti national guyanais;Nationalpartei Guyanas;;Partido Nacional de Guayana;;;;;;;;;;x
social_conservative_GUY;国家共和党;Parti national r閜ublicain;Nationalrepublikanische Partei;;Partido Republicano Nacional;;;;;;;;;;x
market_liberal_GUY;国家民主运动;Mouvement d閙ocratique national;Nationaldemokratische Bewegung;;Movimiento Nacional Dem骳rata;;;;;;;;;;x
social_liberal_GUY;人民民主党;Parti populaire d閙ocrate;Demokratische Volkspartei;;Partido Democr醫ico del Pueblo;;;;;;;;;;x
social_democrat_GUY;国大党;Congr鑣 national populaire;Nationaler Volkskongress;;Congreso Nacional del Pueblo;;;;;;;;;;x
left_wing_radical_GUY;人民进步党;Parti populaire progressiste;V鰈kische Fortschrittspartei;;Partido Progresista del Pueblo;;;;;;;;;;x
leninist_GUY;劳工先锋党;Parti de l'avant-garde des travailleurs;Partei des arbeitenden Volkes;;Partido Vanguardista de los Trabajadores;;;;;;;;;;x
stalinist_GUY;圭亚那共产党;Parti communiste guyanais;Kommunistische Partei Guyanas;;Partido Comunista de Guayana;;;;;;;;;;x
national_socialist_HAI;海地国家社会主义党;PPH;PPH;;PPH;;;;;;;;;;x
fascistic_HAI;法西斯联盟;VSN;VSN;;VSN;;;;;;;;;;x
paternal_autocrat_HAI;军事委员会;Conseil Militaire;Conseil Militaire;;Conseil Militaire;;;;;;;;;;x
social_conservative_HAI;海地社会保守党;MCBNH;MCBNH;;MCBNH;;;;;;;;;;x
market_liberal_HAI;贸易自由主义;MIRN;MIRN;;MIRN;;;;;;;;;;x
social_liberal_HAI;社会自由主义;RDNP;RDNP;;RDNP;;;;;;;;;;x
social_democrat_HAI;社会民主党;SDH;SDH;;SDH;;;;;;;;;;x
left_wing_radical_HAI;海地独立党;POIH;POIH;;POIH;;;;;;;;;;x
leninist_HAI;PCOH;海地列宁主义共产党;PCOH;;PCOH;;;;;;;;;;x
stalinist_HAI;海地共产党;PCH;PCH;;PCH;;;;;;;;;;x
national_socialist_HOL;荷兰国家社会主义运动;NSB;NSB;;NSB;;;;;;;;;;x
fascistic_HOL;荷兰法西斯联盟;ANFB;ANFB;;ANFB;;;;;;;;;;x
paternal_autocrat_HOL;不投票党;NVP;NVP;;NVP;;;;;;;;;;x
social_conservative_HOL;反革命党;ARP;ARP;;ARP;;;;;;;;;;x
market_liberal_HOL;自由联邦党;LSP;LSP;;LSP;;;;;;;;;;x
social_liberal_HOL;天主教人民党;KVP;KVP;;KVP;;;;;;;;;;x
social_democrat_HOL;社会民主工人党;SDAP;SDAP;;SDAP;;;;;;;;;;x
left_wing_radical_HOL;独立社会主义党;OSP;OSP;;OSP;;;;;;;;;;x
leninist_HOL;社会主义革命党;RSAP;RSAP;;RSAP;;;;;;;;;;x
stalinist_HOL;荷兰共产党;CPN;CPN;;CPN;;;;;;;;;;x
national_socialist_HON;国家社会主义运动;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_HON;洪都拉斯长枪党;Falange de Honduras;Falange de Honduras;;Falange de Honduras;;;;;;;;;;x
paternal_autocrat_HON;国家党;Partido Nacional;Partido Nacional;;Partido Nacional;;;;;;;;;;x
social_conservative_HON;洪都拉斯基督民主党;Partido Dem骳rata Cristiano de Honduras;Partido Dem骳rata Cristiano de Honduras;;Partido Dem骳rata Cristiano de Honduras;;;;;;;;;;x
market_liberal_HON;洪都拉斯自由党;Partido Liberal de Honduras;Partido Liberal de Honduras;;Partido Liberal de Honduras;;;;;;;;;;x
social_liberal_HON;民主联盟党;Partido Unificaci髇 Democr醫ica;Partido Unificaci髇 Democr醫ica;;Partido Unificaci髇 Democr醫ica;;;;;;;;;;x
social_democrat_HON;社会民主党;Partido Innovaci髇 y Unidad;Partido Innovaci髇 y Unidad;;Partido Innovaci髇 y Unidad;;;;;;;;;;x
left_wing_radical_HON;洪都拉斯革命党;Partido Revolucionario Hondure駉;Partido Revolucionario Hondure駉;;Partido Revolucionario Hondure駉;;;;;;;;;;x
leninist_HON;人民力量革命党;Fuerzas Populares Revolucionarias;Fuerzas Populares Revolucionarias;;Fuerzas Populares Revolucionarias;;;;;;;;;;x
stalinist_HON;洪都拉斯共产党;Partido Comunista de Honduras;Partido Comunista de Honduras;;Partido Comunista de Honduras;;;;;;;;;;x
national_socialist_HUN;匈牙利国家社会主义党;HNSP;HNSP;;HNSP;;;;;;;;;;x
fascistic_HUN;箭十字党;Parti de la croix fl閏h閑;Pfeilkreuzlerpartei;;Partido de la Cruz Gamada;;;;;;;;;;x
paternal_autocrat_HUN;基督民主人民党;KDNP;KDNP;;KDNP;;;;;;;;;;x
social_conservative_HUN;公民自由党;FKFPP;FKFPP;;FKFPP;;;;;;;;;;x
market_liberal_HUN;国家民主党;NZP;NZP;;NZP;;;;;;;;;;x
social_liberal_HUN;社会自由党;PS;PS;;PS;;;;;;;;;;x
social_democrat_HUN;匈牙利社会民主党;MSZDP;MSZDP;;MSZDP;;;;;;;;;;x
left_wing_radical_HUN;匈牙利劳工党;MDP;MDP;;MDP;;;;;;;;;;x
leninist_HUN;匈牙利社会主义工人党;MSzMP;MSzMP;;MSzMP;;;;;;;;;;x
stalinist_HUN;匈牙利共产党;KMP;KMP;;KMP;;;;;;;;;;x
national_socialist_ICL;国家社会主义党;Flokkur Thj骵dernissinna S髎韆lista;Flokkur Thj骵dernissinna S髎韆lista;;Flokkur Thj骵dernissinna S髎韆lista;;;;;;;;;;x
fascistic_ICL;法西斯联盟;Flokkur Thj骵dernissinna;Flokkur Thj骵dernissinna;;Flokkur Thj骵dernissinna;;;;;;;;;;x
paternal_autocrat_ICL;独裁主义;Thj骴evarnarflokkurinn;Thj骴evarnarflokkurinn;;Thj骴evarnarflokkurinn;;;;;;;;;;x
social_conservative_ICL;社会保守主义;Sj醠fstaedeisflokkurinn;Sj醠fstaedeisflokkurinn;;Sj醠fstaedeisflokkurinn;;;;;;;;;;x
market_liberal_ICL;贸易自由主义;Frj醠slyndi flokkurinn;Frj醠slyndi flokkurinn;;Frj醠slyndi flokkurinn;;;;;;;;;;x
social_liberal_ICL;社会自由主义;Frams髃narflokkurinn;Frams髃narflokkurinn;;Frams髃narflokkurinn;;;;;;;;;;x
social_democrat_ICL;社会民主党;Alth齟duflokkur;Alth齟duflokkur;;Alth齟duflokkur;;;;;;;;;;x
left_wing_radical_ICL;左翼激进主义;S髎韆listaflokkurinn;S髎韆listaflokkurinn;;S髎韆listaflokkurinn;;;;;;;;;;x
leninist_ICL;列宁主义共产党;Jafnaedarmannaf閘agied Sparta;Jafnaedarmannaf閘agied Sparta;;Jafnaedarmannaf閘agied Sparta;;;;;;;;;;x
stalinist_ICL;冰岛共产党;Komm鷑istaflokkur 蛃lands;Komm鷑istaflokkur 蛃lands;;Komm鷑istaflokkur 蛃lands;;;;;;;;;;x
national_socialist_IDC;国家社会主义党;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_IDC;法西斯阵线;Front fasciste;Faschistische Front;;Frente Fascista;;;;;;;;;;x
paternal_autocrat_IDC;国家主义党;Parti nationaliste;Nationalistische Partei;;Partido Nacionalista;;;;;;;;;;x
social_conservative_IDC;保守党;Parti conservateur;Konservative Partei;;Partido Conservador;;;;;;;;;;x
market_liberal_IDC;印度支那民主党;Parti d閙ocratique indochinois;Demokratische Partei Indochinas;;Partido Democr醫ico de Indochina;;;;;;;;;;x
social_liberal_IDC;印度支那人民党;Parti populiste indochinois;Indochinesische Populistenpartei;;Partido Populista de Indochina;;;;;;;;;;x
social_democrat_IDC;社会民主党;Parti social d閙ocrate;Sozialdemokratische Partei;;Partido Socialdem骳rata;;;;;;;;;;x
left_wing_radical_IDC;印度支那共产党;Parti communiste indochinois;Kommunistische Partei Indochinas;;Partido Comunista Indochino;;;;;;;;;;x
leninist_IDC;印度支那共产党;Parti communiste d'Indochine;Kommunistische Partei Indochinas;;Partido Comunista de Indochina;;;;;;;;;;x
stalinist_IDC;红色高棉;Khmer Rouge;Khmer Rouge;;Khmer Rojo;;;;;;;;;;x
national_socialist_IND;印度国民军;Arm閑 nationale indienne;Indische Nationalarmee;;Ej閞cito Nacional de la India;;;;;;;;;;x
fascistic_IND;印度独立联盟;Ligue indienne pour l'ind閜endance;Indische Unabh鋘gigkeitsliga;;Liga Independentista de la India;;;;;;;;;;x
paternal_autocrat_IND;吉拉法特运动;Mouvement Khifalat;Khilafat-Bewegung;;Movimiento Khilafat;;;;;;;;;;x
social_conservative_IND;穆斯林联盟;Ligue musulmane;Muslimische Liga;;Liga Musulmana;;;;;;;;;;x
market_liberal_IND;印度人民党;Parti Bharatiya Jana;Bharatiya Janata-Partei;;Partido Bharatiya Janata;;;;;;;;;;x
social_liberal_IND;印度社会民主党;Parti Bahujan Samaj;Bahujan Samaj-Partei;;Partido Bahujan Samaj;;;;;;;;;;x
social_democrat_IND;大会党;Parti du Congr鑣;Kongresspartei;;Partido del Congreso;;;;;;;;;;x
left_wing_radical_IND;加达党;Parti Ghadar;Ghadar-Partei;;Partido Ghadar;;;;;;;;;;x
leninist_IND;工农党;Parti des travailleurs et des paysans;Arbeiter- und Bauernpartei;;Partido de los Trabajadores y los Campesinos;;;;;;;;;;x
stalinist_IND;印度共产党;Parti communiste indien;Kommunistische Partei Indiens;;Partido Comunista de la India;;;;;;;;;;x
national_socialist_INO;印尼拉雅党;Partai Indonesia Raya;Partai Indonesia Raya;;Partai Indonesia Raya;;;;;;;;;;x
fascistic_INO;印尼法西斯党;BPUPKI;BPUPKI;;BPUPKI;;;;;;;;;;x
paternal_autocrat_INO;印尼国家党;Partai Nasional Indonesia;Partai Nasional Indonesia;;Partai Nasional Indonesia;;;;;;;;;;x
social_conservative_INO;印尼基督党;Partai Kristen Indonesia;Partai Kristen Indonesia;;Partai Kristen Indonesia;;;;;;;;;;x
market_liberal_INO;印尼人民独立党;Partai Rakyat Indonesia Merdeka;Partai Rakyat Indonesia Merdeka;;Partai Rakyat Indonesia Merdeka;;;;;;;;;;x
social_liberal_INO;人民国家党;Partai Rakyat Nasional;Partai Rakyat Nasional;;Partai Rakyat Nasional;;;;;;;;;;x
social_democrat_INO;印尼社会主义党;Partai Sosialis Indonesia;Partai Sosialis Indonesia;;Partai Sosialis Indonesia;;;;;;;;;;x
left_wing_radical_INO;印尼共产党;ISDV;ISDV;;ISDV;;;;;;;;;;x
leninist_INO;列宁主义共产党;Gerindo;Gerindo;;Gerindo;;;;;;;;;;x
stalinist_INO;印尼斯大林主义共产党;Partai Komunis Indonesia;Partai Komunis Indonesia;;Partai Komunis Indonesia;;;;;;;;;;x
national_socialist_IRE;爱尔兰国家唉社会主义党;Parti national socialiste irlandais;Irish National Socialist Party;;Partido Nacionalsocialista Irland閟;;;;;;;;;;x
fascistic_IRE;国大党;NCP;NCP;;NCP;;;;;;;;;;x
paternal_autocrat_IRE;盖尔统一阵线;Front ga閘ique uni;United Gaelic Front;;Frente Ga閘ico Unido;;;;;;;;;;x
social_conservative_IRE;统一党;Fine Gael;Fine Gael;;Fine Gael;;;;;;;;;;x
market_liberal_IRE;共和党;Fianna F醝l;Fianna F醝l;;Fianna F醝l;;;;;;;;;;x
social_liberal_IRE;自由党;Parti lib閞al ;Liberal Party;;Partido Liberal;;;;;;;;;;x
social_democrat_IRE;社会民主劳工党;P醝rt?an Lucht Oibre;P醝rt?an Lucht Oibre;;P醝rt?an Lucht Oibre;;;;;;;;;;x
left_wing_radical_IRE;爱尔兰工人党;Sinn F閕n;Sinn F閕n;;Sinn F閕n;;;;;;;;;;x
leninist_IRE;社会党;Parti socialiste;Socialist Party;;Partido Socialista;;;;;;;;;;x
stalinist_IRE;爱尔兰共产党;CPI;CPI;;CPI;;;;;;;;;;x
national_socialist_IRQ;阿拉伯国家社会主义党;Parti national socialiste arabe;Nationalsozialistische Partei Arabiens;;Partido Nacionalsocialista 羠abe;;;;;;;;;;x
fascistic_IRQ;阿拉伯法西斯阵线;Front fasciste arabe;Faschistische Front Arabiens;;Frente Fascista 羠abe;;;;;;;;;;x
paternal_autocrat_IRQ;哈桑王族;Les Hach閙ites;Die Hashemiten;;Los Hashemitas;;;;;;;;;;x
social_conservative_IRQ;伊斯兰号召党;Parti islamique Dawa;Islamic Dawa-Partei;;Partido Isl醡ico Dawa;;;;;;;;;;x
market_liberal_IRQ;改革党;Parti r閒ormateur;Reform-Partei;;Partido Reformista;;;;;;;;;;x
social_liberal_IRQ;阿拉伯民主统一党;Parti unioniste d閙ocratique arabe;Demokratische Einheitspartei Arabiens;;Partido 羠abe Unionista Democr醫ico;;;;;;;;;;x
social_democrat_IRQ;阿拉伯社会主义联盟;Union socialiste arabe;Sozialistische Union Arabiens;;Uni髇 Socialista 羠abe;;;;;;;;;;x
left_wing_radical_IRQ;伊拉克工人共产主义党;Parti communiste des travailleurs iraquiens;Kommunistische Arbeiterpartei Irak;;Partido Iraqu?de los Trabajadores Comunistas;;;;;;;;;;x
leninist_IRQ;复兴党;Parti Baas;Baath-Partei;;Partido Ba'ath;;;;;;;;;;x
stalinist_IRQ;伊拉克共产党;Parti communiste iraquien;Kommunistische Partei Irak;;Partido Comunista de Irak;;;;;;;;;;x
national_socialist_ISR;国家社会主义党;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_ISR;法西斯阵线;Front fasciste;Faschistische Front;;Frente Fascista;;;;;;;;;;x
paternal_autocrat_ISR;希鲁特运动;Herut;Herut;;Herut;;;;;;;;;;x
social_conservative_ISR;以色列联盟;Agudat Israel;Agudat Yisrael;;Agudat Yisrael;;;;;;;;;;x
market_liberal_ISR;以色列自由党;Miflega Libralit Yisraelit;Miflega Libralit Yisraelit;;Miflega Libralit Yisraelit;;;;;;;;;;x
social_liberal_ISR;犹太复兴组织;Tzionim Klalim;Tzionim Klalim;;Tzionim Klalim;;;;;;;;;;x
social_democrat_ISR;以色列劳工党;Mifleget HaAvoda HaYisraelit;Mifleget HaAvoda HaYisraelit;;Mifleget HaAvoda HaYisraelit;;;;;;;;;;x
left_wing_radical_ISR;战士联盟;Reshimat HaLokhmim;Reshimat HaLokhmim;;Reshimat HaLokhmim;;;;;;;;;;x
leninist_ISR;犹太共产党;Komunistim Ivrim;Komunistim Ivrim;;Komunistim Ivrim;;;;;;;;;;x
stalinist_ISR;以色列共产党;HaMiflega HaKomunistit HaYisraelit;HaMiflega HaKomunistit HaYisraelit;;HaMiflega HaKomunistit HaYisraelit;;;;;;;;;;x
national_socialist_ITA;国家社会主义工人党;NSIWP;NSIWP;;NSIWP;;;;;;;;;;x
fascistic_ITA;国家法西斯党;PNF;PNF;;PNF;;;;;;;;;;x
paternal_autocrat_ITA;国家独立联盟;ANI;ANI;;ANI;;;;;;;;;;x
social_conservative_ITA;意大利人民党;IPP;IPP;;IPP;;;;;;;;;;x
market_liberal_ITA;意大利人民革命党;PRI;PRI;;PRI;;;;;;;;;;x
social_liberal_ITA;社会自由党;ARV;ARV;;ARV;;;;;;;;;;x
social_democrat_ITA;瓦莱达奥斯塔集团;PSU;PSU;;PSU;;;;;;;;;;x
left_wing_radical_ITA;国家阵线;FN;FN;;FN;;;;;;;;;;x
leninist_ITA;三色旗运动党;PTI;PTI;;PTI;;;;;;;;;;x
stalinist_ITA;意大利共产党;PCI;PCI;;PCI;;;;;;;;;;x
national_socialist_JAP;大政翼賛会;Association d'aide au r間ime imp閞ial;Kaiserliche Hilfsgesellschaft;;Asociaci髇 de Asistencia al Gobierno Imperial;;;;;;;;;;x
fascistic_JAP;国民同盟;Kokumin Domei;Kokumin Domei;;Kokumin Domei;;;;;;;;;;x
paternal_autocrat_JAP;掌权派;Clique de contr鬺e;Kontrollclique;;Control Clique;;;;;;;;;;x
social_conservative_JAP;政友会党;Seiyukai Party;Seiyukai-Partei;;Partido Seiyukai;;;;;;;;;;x
market_liberal_JAP;民生党;Minsei Party;Minsei-Partei;;Partido Minsei;;;;;;;;;;x
social_liberal_JAP;立宪政友会;Rikken Seiyukai;Rikken Seiyukai;;Rikken Seiyukai;;;;;;;;;;x
social_democrat_JAP;社会大众党;Shakai Taishuto;Shakai Taishuto;;Shakai Taishuto;;;;;;;;;;x
left_wing_radical_JAP;日本无产党;Nihon Musanto;Nihon Musanto;;Nihon Musanto;;;;;;;;;;x
leninist_JAP;日本社会党;Nippon Shakaito;Nippon Shakaito;;Nippon Shakaito;;;;;;;;;;x
stalinist_JAP;日本共产党;JCP;JKP;;JCP;;;;;;;;;;xnational_socialist_JOR;Arab National Socialist Party;Parti national socialiste arabe;Nationalsozialistische Partei Arabiens;;Partido Nacionalsocialista 羠abe;;;;;;;;;;x
